Brand,Title,Price,MRP,Discount_Percent,Rating,Review_Count,Size,URL
American Tourister,American Tourister Jamaica 58CM Wine RED Soft Suitcase 4 Wheel (27O (0) 70 001),2299.0,7500.0,69.0,4.2,19989,Unknown,https://www.amazon.in/American-Tourister-27O-70-001/dp/B073XL1C3W/ref=sr_1_6?sr=8-6
American Tourister,American Tourister Ivy 2.0|Medium Size Check-in Spinner Trolley Bag (68 cm)|360° 8 Wheel Travel Luggage|Hard Case Polypropylene (PP) Suitcase|Combination Lock|Blue Frog,3299.0,8450.0,61.0,4.2,6875,Medium,https://www.amazon.in/American-Tourister-Suitcase-Trolley-Combination/dp/B0F5HKFPWR/ref=sr_1_7?sr=8-7
American Tourister,American Tourister Liftoff+|Large Size Check-in Spinner Trolley Bag (79 cm) for Travel|360° 8 Wheel Travel Luggage|Hard Case Polypropylene (PP) Suitcase|Mounted TSA Lock|Seafoam Blue,3999.0,9800.0,59.0,4.1,2356,Large,https://www.amazon.in/American-Tourister-Liftoff-Suitcase-Trolley/dp/B0F5HLYQK3/ref=sr_1_9?sr=8-9
American Tourister,American Tourister Icor|Small Size Cabin Trolley Bag (58 cm)|360° 4 Wheel Spinner Travel Luggage|Soft Case Polyester Expandable Suitcase|Mounted Combination Lock|Teal,3399.0,7390.0,54.0,4.2,903,Cabin,https://www.amazon.in/American-Tourister-Soft-Sided-Expandable-Combination/dp/B0CW9T2Y43/ref=sr_1_10?sr=8-10
American Tourister,"American Tourister Jamaica 80 CM Large Check-in Polyester Softside Trolley Bag with Combination Lock, Luggage Bag with 4 Spinner Wheels for Smooth Travel, Trolley for Men &amp; Women - Multi Colour",4099.0,10800.0,62.0,4.2,19989,Large,https://www.amazon.in/American-Tourister-Polyester-Softside-Combination/dp/B0FHJNMV97/ref=sr_1_11?sr=8-11
American Tourister,American Tourister Upland Sport 55 CM Small Carry-On Polypropylene (PP) Hard 4 Wheels Spinner Luggage/Suitcase/Trolley Bag for Travel (Pool Blue),2249.0,7450.0,70.0,4.2,610,Cabin,https://www.amazon.in/American-Tourister-Polypropylene-Spinner-Suitcase/dp/B0F4G1J733/ref=sr_1_12?sr=8-12
American Tourister,American Tourister Liftoff+|Large Size Check-in Spinner Trolley Bag (79 cm) for Travel|360° 8 Wheel Travel Luggage|Hard Case Polypropylene (PP) Suitcase|Mounted TSA Lock|Spa Blue,3999.0,9800.0,59.0,4.1,2356,Large,https://www.amazon.in/American-Tourister-Liftoff-Suitcase-Trolley/dp/B0F5HM58RR/ref=sr_1_13?sr=8-13
American Tourister,American Tourister Ivy 2.0|Large Size Check-in Spinner Trolley Bag (79 cm)|360° 8 Wheel Travel Luggage|Hard Case Polypropylene (PP) Suitcase|Combination Lock|Black,3799.0,9950.0,62.0,4.2,6875,Large,https://www.amazon.in/American-Tourister-Suitcase-Trolley-Combination/dp/B0F5HQQ361/ref=sr_1_15?sr=8-15
American Tourister,"American Tourister Cabin Trolley Bag for Travel|Splash 55 Cms Polycarbonate Hardsided Small Luggage Bag|Speed_Wheel 8 Wheel Suitcase for Travel|Trolley Bag for Travelling, Coral/Teal",3482.0,4100.0,15.0,4.5,1268,Cabin,https://www.amazon.in/American-Tourister-Polycarbonate-LG1-22/dp/B0B6BVXCCD/ref=sr_1_16?sr=8-16
Aristocrat,Aristocrat Polycarbonate Spinner Comet Cabin Trolley Bag 56cm|Small|Hard Luggage| Smooth 8-Wheel Suitcase|Combination Lock with Sturdy Zipper|Full Fabric Convipack|3-Year International Warranty (Blue),1399.0,7990.0,82.0,4.1,2604,Cabin,https://www.amazon.in/Aristocrat-Polycarbonate-Combination-Convipack-International/dp/B0FC6QHR4T/ref=sr_1_6?sr=8-6
Aristocrat,"Aristocrat Liberty Medium (Check-in) Polypropylene Hard Spinner Trolley Bag, 68Cm|Combination Lock|8 Wheels|3 Years International Warranty|New Saddle Brown",1950.0,8125.0,76.0,4.2,1479,Medium,https://www.amazon.in/Aristocrat-Liberty-Combination-International-Warranty/dp/B0FMF7NN53/ref=sr_1_7?sr=8-7
Aristocrat,Aristocrat Comet Check-in Trolley Bag 66cm | Medium | Hard Luggage| Smooth 8-Wheel Suitcase| Combination Lock with Sturdy Zipper | Full Fabric Convipack | 3-Year International Warranty (Grey),1829.0,10890.0,83.0,4.1,2604,Medium,https://www.amazon.in/Aristocrat-Suitcase-Combination-Convipack-International/dp/B0FC6NNC9N/ref=sr_1_9?sr=8-9
Aristocrat,"Aristocrat Liberty Medium (Check-in) Trolley Bag, 68Cm | Combination Lock | 8 Wheels | 3 Years International Warranty | Jet Black, Polypropylene (PP), Hard, Spinner Wheel",1950.0,8125.0,76.0,4.2,1479,Medium,https://www.amazon.in/Aristocrat-Liberty-Combination-International-Warranty/dp/B0FMF3PRSZ/ref=sr_1_8?sr=8-8
Aristocrat,"Aristocrat Liberty Medium (Check-in) Polypropylene Hard Spinner Trolley Bag, 68Cm|Combination Lock|8 Wheels|3 Years International Warranty|Spanish Blue",1950.0,8125.0,76.0,4.2,1479,Medium,https://www.amazon.in/Aristocrat-Liberty-Combination-International-Warranty/dp/B0FMF4NSXP/ref=sr_1_10?sr=8-10
Aristocrat,Aristocrat Atlas Set of 2 Trolley Bag 55cm &amp; 66cm | Small+Medium | Hard Luggage | Smooth 8-Wheel Suitcase | Secure Combination Lock with Sturdy Zipper | Full Fabric Convipack| 3-Year Warranty (White),3079.0,15280.0,80.0,4.0,1271,Cabin,https://www.amazon.in/Aristocrat-Suitcase-Combination-Convipack-Warranty/dp/B0FPXMK92R/ref=sr_1_11?sr=8-11
